lemma,PoS,freq,perMil,length,syllable_count,phonological_complexity,age_group,frequency_category,difficulty
silence,n,38552,38.82,7,2,0,7-8,high,easy
whenever,r,37287,37.55,8,3,1,7-8,high,easy
benefit,v,37025,37.29,7,3,0,7-8,high,easy
unable,j,36300,36.56,6,3,0,7-8,high,easy
symptom,n,36021,36.27,7,2,0,7-8,high,easy
passenger,n,34335,34.58,9,3,0,7-8,high,hard
emphasize,v,34190,34.43,9,3,1,7-8,high,hard
interview,v,33551,33.79,9,3,2,7-8,high,hard
reduction,n,33167,33.4,9,3,1,7-8,high,hard
teaspoon,n,33027,33.26,8,2,0,7-8,high,easy
abandon,v,32838,33.07,7,3,1,7-8,high,easy
leading,j,32280,32.51,7,2,1,7-8,high,easy
festival,n,32159,32.38,8,3,0,7-8,high,easy
strongly,r,31943,32.17,8,2,1,7-8,high,easy
origin,n,31342,31.56,6,3,0,7-8,high,easy
innocent,j,31192,31.41,8,3,1,7-8,high,easy
graduate,v,29793,30.0,8,3,0,7-8,high,easy
narrative,n,28928,29.13,9,3,0,7-8,high,hard
besides,r,28711,28.91,7,2,0,7-8,high,easy
testing,n,28626,28.83,7,1,1,7-8,high,easy
nowhere,r,28292,28.49,7,2,1,7-8,high,easy
crucial,j,28219,28.42,7,2,0,7-8,high,easy
historic,j,27799,27.99,8,3,0,7-8,high,easy
emphasis,n,27699,27.89,8,3,1,7-8,high,easy
champion,n,27593,27.79,8,3,1,7-8,high,easy
sheriff,n,27193,27.38,7,2,1,7-8,high,easy
interpret,v,27068,27.26,9,3,1,7-8,high,hard
framework,n,26926,27.12,9,2,0,7-8,high,hard
neither,d,26586,26.77,7,2,0,7-8,high,easy
encounter,v,26259,26.44,9,3,2,7-8,high,hard
fighter,n,26014,26.2,7,2,1,7-8,high,easy
rapidly,r,24922,25.1,7,2,0,7-8,high,easy
guideline,n,24752,24.93,9,2,0,7-8,high,hard
observer,n,24293,24.46,8,3,0,7-8,high,easy
correct,v,23582,23.75,7,2,0,7-8,high,easy
privilege,n,22671,22.83,9,3,0,7-8,high,hard
painful,j,22292,22.45,7,2,0,7-8,high,easy
happiness,n,22053,22.21,9,3,0,7-8,high,hard
explosion,n,21954,22.11,9,3,0,7-8,high,hard
document,v,21648,21.8,8,3,1,7-8,high,easy
regulate,v,21437,21.59,8,3,0,7-8,high,easy
explode,v,20874,21.02,7,2,0,7-8,high,easy
sandwich,n,20804,20.95,8,2,2,7-8,high,easy
mutual,j,20623,20.77,6,3,0,7-8,high,easy
particle,n,20474,20.62,8,3,0,7-8,high,easy
leather,n,20393,20.54,7,2,0,7-8,high,easy
homeless,j,20229,20.37,8,2,0,7-8,high,easy
horizon,n,20141,20.28,7,3,0,7-8,high,easy
workshop,n,19894,20.03,8,2,1,7-8,high,easy
touchdown,n,19832,19.97,9,2,2,7-8,high,hard
motivate,v,19758,19.9,8,3,0,7-8,high,easy
undergo,v,19593,19.73,7,3,1,7-8,high,easy
enforce,v,19538,19.68,7,2,0,7-8,high,easy
adoption,n,19416,19.55,8,3,0,7-8,high,easy
donation,n,18869,19.0,8,3,0,7-8,high,easy
maximum,j,18764,18.9,7,3,0,7-8,high,easy
starter,n,18292,18.42,7,2,0,7-8,high,easy
essence,n,18172,18.3,7,2,0,7-8,high,easy
ownership,n,18114,18.24,9,3,1,7-8,high,hard
conduct,n,18031,18.16,7,2,1,7-8,high,easy
stimulus,n,17842,17.97,8,3,0,7-8,high,easy
correctly,r,17759,17.88,9,2,0,7-8,high,hard
genuine,j,17394,17.52,7,3,0,7-8,high,easy
rhetoric,n,17356,17.48,8,3,0,7-8,high,easy
pitcher,n,17123,17.24,7,2,2,7-8,high,easy
bombing,n,16988,17.11,7,1,1,7-8,high,easy
talented,j,16822,16.94,8,3,2,7-8,high,easy
program,v,16652,16.77,7,2,0,7-8,high,easy
follower,n,16508,16.62,8,3,0,7-8,high,easy
asshole,n,16356,16.47,7,2,1,7-8,high,easy
conscious,j,15895,16.01,9,2,1,7-8,high,hard
specify,v,15567,15.68,7,3,0,7-8,high,easy
treasure,n,15484,15.59,8,2,0,7-8,high,easy
suspicion,n,15070,15.18,9,3,0,7-8,high,hard
reception,n,14976,15.08,9,3,0,7-8,high,hard
relieve,v,14789,14.89,7,2,1,7-8,high,easy
momentum,n,14567,14.67,8,3,1,7-8,high,easy
subsidy,n,14371,14.47,7,3,0,7-8,high,easy
android,n,14261,14.36,7,2,1,7-8,high,easy
gorgeous,j,14044,14.14,8,2,1,7-8,high,easy
authorize,v,13916,14.01,9,3,0,7-8,high,hard
interfere,v,13797,13.89,9,3,1,7-8,high,hard
minimal,j,13549,13.64,7,3,0,7-8,high,easy
classify,v,13459,13.55,8,3,0,7-8,high,easy
discount,n,13415,13.51,8,2,2,7-8,high,easy
retailer,n,13374,13.47,8,2,0,7-8,high,easy
chemistry,n,13323,13.42,9,3,2,7-8,high,hard
diary,n,13233,13.33,5,3,0,7-8,high,easy
o'clock,r,13146,13.24,7,2,0,7-8,high,easy
hormone,n,13088,13.18,7,2,0,7-8,high,easy
shallow,j,12943,13.03,7,2,1,7-8,high,easy
exchange,v,12921,13.01,8,2,1,7-8,high,easy
defender,n,12834,12.92,8,2,1,7-8,high,easy
eleven,m,12779,12.87,6,3,0,7-8,high,easy
eternal,j,12724,12.81,7,3,0,7-8,high,easy
uncover,v,12692,12.78,7,3,0,7-8,high,easy
verify,v,12629,12.72,6,3,0,7-8,high,easy
happily,r,12458,12.55,7,3,0,7-8,high,easy
ideal,n,12428,12.52,5,3,0,7-8,high,easy
campaign,v,12363,12.45,8,2,0,7-8,high,easy
extract,v,12222,12.31,7,2,0,7-8,high,easy
petition,n,12115,12.2,8,3,0,7-8,high,easy
reluctant,j,12077,12.16,9,3,1,7-8,high,hard
upgrade,v,12053,12.14,7,2,0,7-8,high,easy
stunning,j,11930,12.01,8,2,1,7-8,high,easy
suitable,j,11759,11.84,8,3,0,7-8,high,easy
vertical,j,11719,11.8,8,3,0,7-8,high,easy
purely,r,11697,11.78,6,3,0,7-8,high,easy
torture,n,11683,11.77,7,2,0,7-8,high,easy
prosecute,v,11637,11.72,9,3,0,7-8,high,hard
elected,j,11297,11.38,7,3,1,7-8,high,easy
variance,n,11267,11.35,8,2,0,7-8,high,easy
homeowner,n,11102,11.18,9,3,0,7-8,high,hard
reactor,n,11056,11.13,7,2,0,7-8,high,easy
smoking,n,10959,11.04,7,2,1,7-8,high,easy
selected,j,10929,11.01,8,2,1,7-8,high,easy
warehouse,n,10908,10.98,9,2,1,7-8,high,hard
provoke,v,10860,10.94,7,2,0,7-8,high,easy
notable,j,10792,10.87,7,3,0,7-8,high,easy
sweetie,n,10610,10.68,7,1,1,7-8,high,easy
prevail,v,10593,10.67,7,2,0,7-8,high,easy
paradigm,n,10529,10.6,8,3,0,7-8,high,easy
affection,n,10348,10.42,9,3,0,7-8,high,hard
harvest,v,10261,10.33,7,2,0,7-8,high,easy
managing,j,10222,10.29,8,2,1,7-8,high,easy
neglect,v,10199,10.27,7,2,0,7-8,high,easy
atheist,n,10175,10.25,7,2,0,7-8,high,easy
summarize,v,10002,10.07,9,3,0,7-8,high,hard
diplomat,n,9951,10.02,8,3,0,7-8,high,easy
maximize,v,9899,9.97,8,3,0,7-8,high,easy
outrage,n,9660,9.73,7,2,1,7-8,high,easy
caution,n,9528,9.59,7,2,0,7-8,high,easy
presume,v,9459,9.53,7,2,0,7-8,high,easy
surgical,j,9333,9.4,8,3,0,7-8,high,easy
troubled,j,9290,9.36,8,2,2,7-8,high,easy
endeavor,n,9083,9.15,8,3,1,7-8,high,easy
physicist,n,8994,9.06,9,3,1,7-8,high,hard
precision,n,8972,9.04,9,3,0,7-8,high,hard
sophomore,n,8952,9.01,9,3,1,7-8,high,hard
warrant,v,8782,8.84,7,2,1,7-8,high,easy
rehearsal,n,8753,8.81,9,3,0,7-8,high,hard
thorough,j,8730,8.79,8,2,3,7-8,high,easy
biologist,n,8708,8.77,9,3,0,7-8,high,hard
fracture,n,8644,8.7,8,2,0,7-8,high,easy
underwear,n,8612,8.67,9,3,1,7-8,high,hard
circulate,v,8453,8.51,9,3,0,7-8,high,hard
replicate,v,8433,8.49,9,3,0,7-8,high,hard
toddler,n,8410,8.47,7,2,0,7-8,high,easy
unaware,j,8381,8.44,7,3,0,7-8,high,easy
dislike,v,8336,8.39,7,2,0,7-8,high,easy
astronaut,n,8279,8.34,9,3,1,7-8,high,hard
asteroid,n,8179,8.24,8,3,0,7-8,high,easy
hilarious,j,8091,8.15,9,3,1,7-8,high,hard
varying,j,8016,8.07,7,2,1,7-8,high,easy
tribune,n,7976,8.03,7,2,0,7-8,high,easy
nickname,n,7923,7.98,8,2,1,7-8,high,easy
beating,n,7909,7.96,7,2,1,7-8,high,easy
salesman,n,7779,7.83,8,3,0,7-8,high,easy
homemade,j,7761,7.82,8,3,0,7-8,high,easy
reviewer,n,7721,7.78,8,3,1,7-8,high,easy
mattress,n,7696,7.75,8,2,0,7-8,high,easy
prepared,j,7650,7.7,8,2,1,7-8,high,easy
selective,j,7498,7.55,9,3,0,7-8,high,hard
evacuate,v,7482,7.53,8,3,0,7-8,high,easy
balcony,n,7449,7.5,7,3,0,7-8,high,easy
settler,n,7423,7.48,7,2,0,7-8,high,easy
timely,j,7231,7.28,6,3,0,7-8,high,easy
sustained,j,7197,7.25,9,3,1,7-8,high,hard
bailout,n,7171,7.22,7,2,1,7-8,high,easy
foremost,j,7120,7.17,8,3,0,7-8,high,easy
hazardous,j,7109,7.16,9,3,1,7-8,high,hard
radical,n,7044,7.09,7,3,0,7-8,high,easy
altitude,n,7017,7.07,8,3,0,7-8,high,easy
seventeen,m,6875,6.92,9,3,1,7-8,high,hard
rigorous,j,6767,6.81,8,3,1,7-8,high,easy
smoothly,r,6585,6.63,8,2,0,7-8,high,easy
turning,n,6516,6.56,7,2,1,7-8,high,easy
founder,n,6488,6.53,7,2,2,7-8,high,easy
worthless,j,6439,6.48,9,2,0,7-8,high,hard
recruit,n,6429,6.47,7,2,0,7-8,high,easy
singing,n,6413,6.46,7,2,1,7-8,high,easy
tactical,j,6363,6.41,8,3,0,7-8,high,easy
dispose,v,6262,6.31,7,2,0,7-8,high,easy
strangely,r,6252,6.3,9,3,1,7-8,high,hard
fearful,j,6237,6.28,7,2,0,7-8,high,easy
pharmacy,n,6228,6.27,8,3,1,7-8,high,easy
pancake,n,6213,6.26,7,2,0,7-8,high,easy
prevalent,j,6186,6.23,9,3,1,7-8,high,hard
leisure,n,6168,6.21,7,2,0,7-8,high,easy
insulin,n,6128,6.17,7,3,0,7-8,high,easy
shepherd,n,6118,6.16,8,2,2,7-8,high,easy
mainland,n,6087,6.13,8,2,1,7-8,high,easy
pasture,n,6071,6.11,7,2,0,7-8,high,easy
inclusive,j,6034,6.08,9,3,0,7-8,high,hard
governing,j,5927,5.97,9,3,1,7-8,high,hard
interest,v,5913,5.95,8,3,1,7-8,high,easy
harmless,j,5896,5.94,8,2,0,7-8,high,easy
billboard,n,5798,5.84,9,2,0,7-8,high,hard
infantry,n,5747,5.79,8,3,1,7-8,high,easy
bearing,n,5707,5.75,7,2,1,7-8,high,easy
withstand,v,5683,5.72,9,2,1,7-8,high,hard
bracket,n,5629,5.67,7,2,0,7-8,high,easy
working,n,5599,5.64,7,2,1,7-8,high,easy
ambiguous,j,5586,5.63,9,3,1,7-8,high,hard
outraged,j,5520,5.56,8,3,2,7-8,high,easy
ethanol,n,5469,5.51,7,3,0,7-8,high,easy
structure,v,5387,5.42,9,2,1,7-8,high,hard
bowling,n,5379,5.42,7,2,1,7-8,high,easy
floating,j,5343,5.38,8,2,1,7-8,high,easy
premier,j,5314,5.35,7,2,1,7-8,high,easy
convicted,j,5279,5.32,9,3,1,7-8,high,hard
scottish,j,5251,5.29,8,2,1,7-8,high,easy
initial,n,5229,5.27,7,3,0,7-8,high,easy
bakery,n,5216,5.25,6,3,0,7-8,high,easy
prolonged,j,5207,5.24,9,3,1,7-8,high,hard
liable,j,5190,5.23,6,3,0,7-8,high,easy
detainee,n,5153,5.19,8,2,0,7-8,high,easy
redefine,v,5124,5.16,8,3,1,7-8,high,easy
brochure,n,5113,5.15,8,2,1,7-8,high,easy
shorten,v,5096,5.13,7,2,1,7-8,high,easy
paralyze,v,5090,5.13,8,3,0,7-8,high,easy
binding,j,5065,5.1,7,2,2,7-8,high,easy
cruelty,n,5045,5.08,7,2,0,7-8,high,easy
sideways,r,5034,5.07,8,3,0,7-8,high,easy
grenade,n,5010,5.05,7,2,0,7-8,high,easy
refined,j,5001,5.04,7,3,1,7-8,high,easy
ritual,j,4988,5.02,6,3,0,7-8,high,easy
hostess,n,4982,5.02,7,2,0,7-8,high,easy
glowing,j,4972,5.01,7,2,1,7-8,high,easy
furnish,v,4962,5.0,7,2,1,7-8,high,easy
needless,j,4942,4.98,8,2,1,7-8,high,easy
casting,n,4933,4.97,7,2,1,7-8,high,easy
unhealthy,j,4874,4.91,9,3,0,7-8,high,hard
answering,j,4849,4.88,9,3,1,7-8,high,hard
anecdote,n,4824,4.86,8,3,0,7-8,high,easy
specially,r,4816,4.85,9,3,0,7-8,high,hard
cheerful,j,4762,4.8,8,2,1,7-8,high,easy
solicit,v,4746,4.78,7,3,0,7-8,high,easy
agony,n,4736,4.77,5,3,0,7-8,high,easy
intended,j,4728,4.76,8,3,3,7-8,high,easy
lineage,n,4691,4.72,7,2,0,7-8,high,easy
succumb,v,4645,4.68,7,2,0,7-8,high,easy
suicidal,j,4621,4.65,8,3,0,7-8,high,easy
unify,v,4611,4.64,5,3,0,7-8,high,easy
visualize,v,4600,4.63,9,3,0,7-8,high,hard
fallout,n,4578,4.61,7,2,1,7-8,high,easy
outweigh,v,4571,4.6,8,2,2,7-8,high,easy
downward,j,4537,4.57,8,2,0,7-8,high,easy
broccoli,n,4530,4.56,8,3,0,7-8,high,easy
lighter,n,4522,4.55,7,2,1,7-8,high,easy
suffice,v,4493,4.52,7,2,0,7-8,high,easy
console,v,4478,4.51,7,2,0,7-8,high,easy
farewell,n,4447,4.48,8,3,0,7-8,high,easy
boiling,j,4417,4.45,7,2,1,7-8,high,easy
linkage,n,4382,4.41,7,2,0,7-8,high,easy
blizzard,n,4368,4.4,8,2,0,7-8,high,easy
pinpoint,v,4357,4.39,8,2,1,7-8,high,easy
paperback,n,4341,4.37,9,3,0,7-8,high,hard
brighten,v,4332,4.36,8,2,1,7-8,high,easy
ornament,n,4309,4.34,8,3,1,7-8,high,easy
nervously,r,4292,4.32,9,3,1,7-8,high,hard
graceful,j,4286,4.32,8,3,0,7-8,high,easy
listening,j,4278,4.31,9,3,1,7-8,high,hard
strangle,v,4249,4.28,8,2,1,7-8,high,easy
his/her,a,4243,4.27,7,2,0,7-8,high,easy
grouping,n,4236,4.27,8,2,2,7-8,high,easy
headlight,n,4218,4.25,9,2,1,7-8,high,hard
methodist,j,4212,4.24,9,3,0,7-8,high,hard
mailbox,n,4151,4.18,7,2,0,7-8,high,easy
protector,n,4141,4.17,9,3,0,7-8,high,hard
shelter,v,4122,4.15,7,2,1,7-8,high,easy
inflate,v,4114,4.14,7,2,0,7-8,high,easy
bosnian,j,4108,4.14,7,2,0,7-8,high,easy
plumbing,n,4084,4.11,8,2,1,7-8,high,easy
bulldog,n,4065,4.09,7,2,0,7-8,high,easy
versatile,j,4054,4.08,9,3,0,7-8,high,hard
statistic,n,4049,4.08,9,3,0,7-8,high,hard
preheat,v,4032,4.06,7,2,0,7-8,high,easy
consulate,n,4018,4.05,9,3,0,7-8,high,hard
avoidance,n,3991,4.02,9,3,0,7-8,high,hard
tortilla,n,3980,4.01,8,3,0,7-8,high,easy
mediocre,j,3956,3.98,8,2,1,7-8,high,easy
longing,n,3906,3.93,7,2,1,7-8,high,easy
profile,v,3896,3.92,7,2,0,7-8,high,easy
cleanse,v,3871,3.9,7,1,0,7-8,high,easy
logistics,n,3864,3.89,9,3,0,7-8,high,hard
alternate,v,3797,3.82,9,3,0,7-8,high,hard
immortal,j,3781,3.81,8,3,0,7-8,high,easy
martini,n,3774,3.8,7,3,0,7-8,high,easy
trickle,v,3764,3.79,7,2,0,7-8,high,easy
aroma,n,3752,3.78,5,3,0,7-8,high,easy
pleasing,j,3725,3.75,8,2,1,7-8,high,easy
grunting,n,3714,3.74,8,2,2,7-8,high,easy
coroner,n,3704,3.73,7,3,0,7-8,high,easy
cranberry,n,3688,3.71,9,3,0,7-8,high,hard
handout,n,3673,3.7,7,2,2,7-8,high,easy
lutheran,j,3660,3.69,8,3,0,7-8,high,easy
mailing,n,3652,3.68,7,2,1,7-8,high,easy
reaffirm,v,3649,3.67,8,2,0,7-8,high,easy
surreal,j,3597,3.62,7,2,0,7-8,high,easy
ballroom,n,3586,3.61,8,2,0,7-8,high,easy
profess,v,3579,3.6,7,2,0,7-8,high,easy
sacrament,n,3568,3.59,9,3,1,7-8,high,hard
celestial,j,3537,3.56,9,3,0,7-8,high,hard
paranoia,n,3531,3.56,8,3,0,7-8,high,easy
angrily,r,3523,3.55,7,3,0,7-8,high,easy
curtail,v,3520,3.54,7,2,0,7-8,high,easy
outskirts,n,3514,3.54,9,2,1,7-8,high,hard
obstruct,v,3479,3.5,8,2,1,7-8,high,easy
commend,v,3465,3.49,7,2,1,7-8,high,easy
platoon,n,3453,3.48,7,2,0,7-8,high,easy
hanging,j,3440,3.46,7,2,1,7-8,high,easy
debacle,n,3399,3.42,7,3,0,7-8,high,easy
spoiler,n,3384,3.41,7,2,0,7-8,high,easy
thrilling,j,3378,3.4,9,2,2,7-8,high,hard
restart,v,3373,3.4,7,2,0,7-8,high,easy
deserving,j,3363,3.39,9,3,1,7-8,high,hard
lifting,n,3357,3.38,7,2,1,7-8,high,easy
crescent,n,3352,3.38,8,2,1,7-8,high,easy
neutron,n,3341,3.36,7,2,0,7-8,high,easy
shampoo,n,3333,3.36,7,2,1,7-8,high,easy
forgotten,j,3323,3.35,9,3,0,7-8,high,hard
voltage,n,3305,3.33,7,2,0,7-8,high,easy
homestead,n,3297,3.32,9,3,0,7-8,high,hard
colonist,n,3286,3.31,8,3,0,7-8,high,easy
relegate,v,3268,3.29,8,3,0,7-8,high,easy
reappear,v,3264,3.29,8,2,0,7-8,high,easy
messaging,n,3257,3.28,9,3,1,7-8,high,hard
soprano,n,3223,3.25,7,3,0,7-8,high,easy
flashback,n,3176,3.2,9,2,1,7-8,high,hard
resurrect,v,3162,3.18,9,3,0,7-8,high,hard
fitting,j,3138,3.16,7,2,1,7-8,high,easy
ascribe,v,3124,3.15,7,2,0,7-8,high,easy
vividly,r,3120,3.14,7,3,0,7-8,high,easy
coexist,v,3104,3.13,7,2,0,7-8,high,easy
thriving,j,3096,3.12,8,2,2,7-8,high,easy
usable,j,3090,3.11,6,3,0,7-8,high,easy
permeate,v,3084,3.11,8,2,0,7-8,high,easy
anarchy,n,3050,3.07,7,3,1,7-8,high,easy
avatar,n,3042,3.06,6,3,0,7-8,high,easy
populace,n,3035,3.06,8,3,0,7-8,high,easy
penguin,n,3024,3.05,7,2,0,7-8,high,easy
account,i,3010,3.03,7,2,2,7-8,high,easy
bandwidth,n,2998,3.02,9,2,1,7-8,medium,hard
flipping,j,2991,3.01,8,2,1,7-8,medium,moderate
spreading,j,2985,3.01,9,2,1,7-8,medium,hard
craftsman,n,2982,3.0,9,2,0,7-8,medium,hard
opposite,i,2953,2.97,8,3,0,7-8,medium,moderate
husband,n,2945,2.97,7,2,1,7-8,medium,moderate
remedial,j,2929,2.95,8,3,1,7-8,medium,moderate
connector,n,2918,2.94,9,3,0,7-8,medium,hard
brokerage,n,2908,2.93,9,3,0,7-8,medium,hard
nourish,v,2904,2.92,7,2,2,7-8,medium,moderate
westerner,n,2865,2.89,9,3,0,7-8,medium,hard
aggregate,n,2862,2.88,9,3,0,7-8,medium,hard
depletion,n,2820,2.84,9,3,0,7-8,medium,hard
diffusion,n,2819,2.84,9,3,0,7-8,medium,hard
penalize,v,2811,2.83,8,3,0,7-8,medium,moderate
establish,v,2807,2.83,9,3,1,7-8,medium,hard
torrent,n,2797,2.82,7,2,1,7-8,medium,moderate
reverence,n,2789,2.81,9,3,0,7-8,medium,hard
ketchup,n,2776,2.8,7,2,2,7-8,medium,moderate
vigilant,j,2773,2.79,8,3,1,7-8,medium,moderate
markedly,r,2760,2.78,8,3,1,7-8,medium,moderate
etiquette,n,2689,2.71,9,3,0,7-8,medium,hard
downfall,n,2687,2.71,8,2,0,7-8,medium,moderate
afterlife,n,2683,2.7,9,3,0,7-8,medium,hard
seminal,j,2672,2.69,7,3,0,7-8,medium,moderate
semitic,j,2670,2.69,7,3,0,7-8,medium,moderate
seismic,j,2664,2.68,7,2,0,7-8,medium,moderate
default,v,2644,2.66,7,2,0,7-8,medium,moderate
reconnect,v,2632,2.65,9,3,0,7-8,medium,hard
formative,j,2622,2.64,9,3,0,7-8,medium,hard
dissent,v,2613,2.63,7,2,1,7-8,medium,moderate
torment,v,2595,2.61,7,2,1,7-8,medium,moderate
eighties,m,2592,2.61,8,2,2,7-8,medium,moderate
senseless,j,2588,2.61,9,3,0,7-8,medium,hard
fantasize,v,2521,2.54,9,3,1,7-8,medium,hard
hangover,n,2505,2.52,8,3,0,7-8,medium,moderate
familial,j,2503,2.52,8,3,0,7-8,medium,moderate
consuming,j,2494,2.51,9,3,1,7-8,medium,hard
allusion,n,2490,2.51,8,3,0,7-8,medium,moderate
refinance,v,2478,2.5,9,3,0,7-8,medium,hard
rearview,j,2446,2.46,8,2,1,7-8,medium,moderate
digging,n,2443,2.46,7,2,1,7-8,medium,moderate
routine,j,2440,2.46,7,2,1,7-8,medium,moderate
weaponry,n,2435,2.45,8,3,0,7-8,medium,moderate
stuffing,n,2425,2.44,8,2,1,7-8,medium,moderate
archival,j,2418,2.43,8,3,1,7-8,medium,moderate
policing,n,2413,2.43,8,3,1,7-8,medium,moderate
managed,j,2395,2.41,7,2,1,7-8,medium,moderate
expulsion,n,2391,2.41,9,3,0,7-8,medium,hard
aperture,n,2382,2.4,8,3,0,7-8,medium,moderate
craving,n,2374,2.39,7,2,1,7-8,medium,moderate
showtime,n,2321,2.34,8,2,1,7-8,medium,moderate
transpire,v,2317,2.33,9,2,0,7-8,medium,hard
preserve,n,2312,2.33,8,2,0,7-8,medium,moderate
flaming,j,2307,2.32,7,2,1,7-8,medium,moderate
barricade,n,2305,2.32,9,3,0,7-8,medium,hard
cutting,j,2299,2.32,7,2,1,7-8,medium,moderate
concise,j,2287,2.3,7,2,0,7-8,medium,moderate
forward,n,2273,2.29,7,2,0,7-8,medium,moderate
grimace,v,2265,2.28,7,2,0,7-8,medium,moderate
driving,n,2261,2.28,7,2,1,7-8,medium,moderate
plaster,v,2259,2.27,7,2,0,7-8,medium,moderate
overtly,r,2212,2.23,7,3,0,7-8,medium,moderate
saharan,j,2209,2.22,7,3,0,7-8,medium,moderate
sporadic,j,2206,2.22,8,3,0,7-8,medium,moderate
ayatollah,n,2198,2.21,9,3,0,7-8,medium,hard
marshal,v,2194,2.21,7,2,1,7-8,medium,moderate
emigrate,v,2191,2.21,8,3,0,7-8,medium,moderate
stratum,n,2188,2.2,7,2,1,7-8,medium,moderate
retrieval,n,2154,2.17,9,3,1,7-8,medium,hard
pastime,n,2152,2.17,7,2,0,7-8,medium,moderate
sputter,v,2142,2.16,7,2,0,7-8,medium,moderate
snowball,n,2139,2.15,8,2,0,7-8,medium,moderate
blossom,v,2125,2.14,7,2,0,7-8,medium,moderate
traveller,n,2123,2.14,9,3,0,7-8,medium,hard
wannabe,n,2120,2.13,7,2,0,7-8,medium,moderate
highness,n,2115,2.13,8,2,1,7-8,medium,moderate
bruised,j,2099,2.11,7,2,1,7-8,medium,moderate
droplet,n,2093,2.11,7,2,0,7-8,medium,moderate
diagonal,j,2065,2.08,8,3,0,7-8,medium,moderate
subdued,j,2063,2.08,7,2,1,7-8,medium,moderate
increment,n,2060,2.07,9,3,1,7-8,medium,hard
amplitude,n,2053,2.07,9,3,0,7-8,medium,hard
tuxedo,n,2036,2.05,6,3,1,7-8,medium,moderate
unmanned,j,2027,2.04,8,3,1,7-8,medium,moderate
ranking,j,2017,2.03,7,2,1,7-8,medium,moderate
muffled,j,2015,2.03,7,2,1,7-8,medium,moderate
